1
0 1320 320.85 1330 320.85 0
2 2300 240.717 2300 240.717 0
2 5900 439.35 5900 439.35 101
7 5460 510.05 5460 510.05 0
6 5460 650 5460 650 0
6 5620 650 5620 650 0
2 6540 439.35 6540 439.35 101
7 6100 510.05 6100 510.05 0
6 6100 650 6100 650 0
6 6260 650 6260 650 0
3 2010 600.317 2000 600.317 101
3 -800 480.8 -805 480.8 101
9 1280 620 1280 620 0
9 1440 620 1440 620 0
9 8320 620 8320 620 0
9 8480 620 8480 620 0
9 8640 620 8640 620 0
7 8480 600 8480 600 0
9 4560 630 4560 630 0
9 4640 630 4640 630 0
6 4800 600 4800 600 0
8 11000 0 11000 0 0
8 -2000 0 -2000 0 0
7 -500 560.55 -500 560.55 0
7 2840 650 2840 650 0
7 3000 650 3000 650 0
7 3160 650 3160 650 0
7 3320 650 3320 650 0
7 3480 650 3480 650 0
7 3640 650 3640 650 0
7 4400 560.55 4400 560.55 0
3 3365 310.813 3370 315.496 382
3 3565 308.546 3570 308.18 79
6 2540 401 2540 401 0
6 3800 400 3800 400 0
6 4000 500 4000 500 0
6 -1400 400 -1400 400 0
6 1000 600 1000 600 0
6 1600 600 1600 600 0
6 2200 500 2200 500 0
6 8000 500 8000 500 0
6 8800 500 8800 500 0
6 9000 400 9000 400 0
6 10500 600 10500 600 0
5 -3000 700 -3000 700 0
5 -2000 700 -2000 700 0
5 -1000 700 -1000 700 0
5 0 700 0 700 0
5 1000 700 1000 700 0
5 2000 700 2000 700 0
5 3000 700 3000 700 0
5 4000 700 4000 700 0
5 5000 700 5000 700 0
5 6000 700 6000 700 0
5 7000 700 7000 700 0
5 8000 700 8000 700 0
5 9000 700 9000 700 0
5 10000 700 10000 700 0
5 11000 700 11000 700 0
4 10000 240.4 10000 240.4 0
3 10320 600.317 10310 600.317 0
0 1070 299.466 1070 299.466 101
